Unnamed: 0,fighter_a_name,fighter_b_name,fighter_a_record,fighter_a_height,fighter_a_weight,fighter_a_reach,fighter_a_stance,fighter_a_dob,fighter_b_record,fighter_b_height,fighter_b_weight,fighter_b_reach,fighter_b_stance,fighter_b_dob,date,location,weight_class,victory_method,final_round,finish_time,number_of_rounds,winner,fighter_a_kd,fighter_b_kd,fighter_a_sig_str_landed,fighter_a_sig_str_attempted,fighter_b_sig_str_landed,fighter_b_sig_str_attempted,fighter_a_sig_str_pct,fighter_b_sig_str_pct,fighter_a_total_str_landed,fighter_a_total_str_attempted,fighter_b_total_str_landed,fighter_b_total_str_attempted,fighter_a_td_landed,fighter_a_td_attempted,fighter_b_td_landed,fighter_b_td_attempted,fighter_a_td_pct,fighter_b_td_pct,fighter_a_sub_att,fighter_b_sub_att,fighter_a_rev,fighter_b_rev,fighter_a_ctrl_seconds,fighter_b_ctrl_seconds,fighter_a_kd_01,fighter_b_kd_01,fighter_a_sig_str_landed_01,fighter_a_sig_str_attempted_01,fighter_b_sig_str_landed_01,fighter_b_sig_str_attempted_01,fighter_a_sig_str_pct_01,fighter_b_sig_str_pct_01,fighter_a_total_str_landed_01,fighter_a_total_str_attempted_01,fighter_b_total_str_landed_01,fighter_b_total_str_attempted_01,fighter_a_td_landed_01,fighter_a_td_attempted_01,fighter_b_td_landed_01,fighter_b_td_attempted_01,fighter_a_td_pct_01,fighter_b_td_pct_01,fighter_a_sub_att_01,fighter_b_sub_att_01,fighter_a_rev_01,fighter_b_rev_01,fighter_a_ctrl_seconds_01,fighter_b_ctrl_seconds_01,fighter_a_kd_02,fighter_b_kd_02,fighter_a_sig_str_landed_02,fighter_a_sig_str_attempted_02,fighter_b_sig_str_landed_02,fighter_b_sig_str_attempted_02,fighter_a_sig_str_pct_02,fighter_b_sig_str_pct_02,fighter_a_total_str_landed_02,fighter_a_total_str_attempted_02,fighter_b_total_str_landed_02,fighter_b_total_str_attempted_02,fighter_a_td_landed_02,fighter_a_td_attempted_02,fighter_b_td_landed_02,fighter_b_td_attempted_02,fighter_a_td_pct_02,fighter_b_td_pct_02,fighter_a_sub_att_02,fighter_b_sub_att_02,fighter_a_rev_02,fighter_b_rev_02,fighter_a_ctrl_seconds_02,fighter_b_ctrl_seconds_02,fighter_a_kd_03,fighter_b_kd_03,fighter_a_sig_str_landed_03,fighter_a_sig_str_attempted_03,fighter_b_sig_str_landed_03,fighter_b_sig_str_attempted_03,fighter_a_sig_str_pct_03,fighter_b_sig_str_pct_03,fighter_a_total_str_landed_03,fighter_a_total_str_attempted_03,fighter_b_total_str_landed_03,fighter_b_total_str_attempted_03,fighter_a_td_landed_03,fighter_a_td_attempted_03,fighter_b_td_landed_03,fighter_b_td_attempted_03,fighter_a_td_pct_03,fighter_b_td_pct_03,fighter_a_sub_att_03,fighter_b_sub_att_03,fighter_a_rev_03,fighter_b_rev_03,fighter_a_ctrl_seconds_03,fighter_b_ctrl_seconds_03,fighter_a_kd_04,fighter_b_kd_04,fighter_a_sig_str_landed_04,fighter_a_sig_str_attempted_04,fighter_b_sig_str_landed_04,fighter_b_sig_str_attempted_04,fighter_a_sig_str_pct_04,fighter_b_sig_str_pct_04,fighter_a_total_str_landed_04,fighter_a_total_str_attempted_04,fighter_b_total_str_landed_04,fighter_b_total_str_attempted_04,fighter_a_td_landed_04,fighter_a_td_attempted_04,fighter_b_td_landed_04,fighter_b_td_attempted_04,fighter_a_td_pct_04,fighter_b_td_pct_04,fighter_a_sub_att_04,fighter_b_sub_att_04,fighter_a_rev_04,fighter_b_rev_04,fighter_a_ctrl_seconds_04,fighter_b_ctrl_seconds_04,fighter_a_head_landed,fighter_a_head_attempted,fighter_b_head_landed,fighter_b_head_attempted,fighter_a_body_landed,fighter_a_body_attempted,fighter_b_body_landed,fighter_b_body_attempted,fighter_a_leg_landed,fighter_a_leg_attempted,fighter_b_leg_landed,fighter_b_leg_attempted,fighter_a_distance_landed,fighter_a_distance_attempted,fighter_b_distance_landed,fighter_b_distance_attempted,fighter_a_clinch_landed,fighter_a_clinch_attempted,fighter_b_clinch_landed,fighter_b_clinch_attempted,fighter_a_ground_landed,fighter_a_ground_attempted,fighter_b_ground_landed,fighter_b_ground_attempted,fighter_a_head_landed_01,fighter_a_head_attempted_01,fighter_b_head_landed_01,fighter_b_head_attempted_01,fighter_a_body_landed_01,fighter_a_body_attempted_01,fighter_b_body_landed_01,fighter_b_body_attempted_01,fighter_a_leg_landed_01,fighter_a_leg_attempted_01,fighter_b_leg_landed_01,fighter_b_leg_attempted_01,fighter_a_distance_landed_01,fighter_a_distance_attempted_01,fighter_b_distance_landed_01,fighter_b_distance_attempted_01,fighter_a_clinch_landed_01,fighter_a_clinch_attempted_01,fighter_b_clinch_landed_01,fighter_b_clinch_attempted_01,fighter_a_ground_landed_01,fighter_a_ground_attempted_01,fighter_b_ground_landed_01,fighter_b_ground_attempted_01,fighter_a_head_landed_02,fighter_a_head_attempted_02,fighter_b_head_landed_02,fighter_b_head_attempted_02,fighter_a_body_landed_02,fighter_a_body_attempted_02,fighter_b_body_landed_02,fighter_b_body_attempted_02,fighter_a_leg_landed_02,fighter_a_leg_attempted_02,fighter_b_leg_landed_02,fighter_b_leg_attempted_02,fighter_a_distance_landed_02,fighter_a_distance_attempted_02,fighter_b_distance_landed_02,fighter_b_distance_attempted_02,fighter_a_clinch_landed_02,fighter_a_clinch_attempted_02,fighter_b_clinch_landed_02,fighter_b_clinch_attempted_02,fighter_a_ground_landed_02,fighter_a_ground_attempted_02,fighter_b_ground_landed_02,fighter_b_ground_attempted_02,fighter_a_head_landed_03,fighter_a_head_attempted_03,fighter_b_head_landed_03,fighter_b_head_attempted_03,fighter_a_body_landed_03,fighter_a_body_attempted_03,fighter_b_body_landed_03,fighter_b_body_attempted_03,fighter_a_leg_landed_03,fighter_a_leg_attempted_03,fighter_b_leg_landed_03,fighter_b_leg_attempted_03,fighter_a_distance_landed_03,fighter_a_distance_attempted_03,fighter_b_distance_landed_03,fighter_b_distance_attempted_03,fighter_a_clinch_landed_03,fighter_a_clinch_attempted_03,fighter_b_clinch_landed_03,fighter_b_clinch_attempted_03,fighter_a_ground_landed_03,fighter_a_ground_attempted_03,fighter_b_ground_landed_03,fighter_b_ground_attempted_03,fighter_a_head_landed_04,fighter_a_head_attempted_04,fighter_b_head_landed_04,fighter_b_head_attempted_04,fighter_a_body_landed_04,fighter_a_body_attempted_04,fighter_b_body_landed_04,fighter_b_body_attempted_04,fighter_a_leg_landed_04,fighter_a_leg_attempted_04,fighter_b_leg_landed_04,fighter_b_leg_attempted_04,fighter_a_distance_landed_04,fighter_a_distance_attempted_04,fighter_b_distance_landed_04,fighter_b_distance_attempted_04,fighter_a_clinch_landed_04,fighter_a_clinch_attempted_04,fighter_b_clinch_landed_04,fighter_b_clinch_attempted_04,fighter_a_ground_landed_04,fighter_a_ground_attempted_04,fighter_b_ground_landed_04,fighter_b_ground_attempted_04,fighter_a_kd_05,fighter_b_kd_05,fighter_a_sig_str_landed_05,fighter_a_sig_str_attempted_05,fighter_b_sig_str_landed_05,fighter_b_sig_str_attempted_05,fighter_a_sig_str_pct_05,fighter_b_sig_str_pct_05,fighter_a_total_str_landed_05,fighter_a_total_str_attempted_05,fighter_b_total_str_landed_05,fighter_b_total_str_attempted_05,fighter_a_td_landed_05,fighter_a_td_attempted_05,fighter_b_td_landed_05,fighter_b_td_attempted_05,fighter_a_td_pct_05,fighter_b_td_pct_05,fighter_a_sub_att_05,fighter_b_sub_att_05,fighter_a_rev_05,fighter_b_rev_05,fighter_a_ctrl_seconds_05,fighter_b_ctrl_seconds_05,fighter_a_head_landed_05,fighter_a_head_attempted_05,fighter_b_head_landed_05,fighter_b_head_attempted_05,fighter_a_body_landed_05,fighter_a_body_attempted_05,fighter_b_body_landed_05,fighter_b_body_attempted_05,fighter_a_leg_landed_05,fighter_a_leg_attempted_05,fighter_b_leg_landed_05,fighter_b_leg_attempted_05,fighter_a_distance_landed_05,fighter_a_distance_attempted_05,fighter_b_distance_landed_05,fighter_b_distance_attempted_05,fighter_a_clinch_landed_05,fighter_a_clinch_attempted_05,fighter_b_clinch_landed_05,fighter_b_clinch_attempted_05,fighter_a_ground_landed_05,fighter_a_ground_attempted_05,fighter_b_ground_landed_05,fighter_b_ground_attempted_05,fighter_a_Bantamweight_rank,fighter_b_Bantamweight_rank,fighter_a_Featherweight_rank,fighter_b_Featherweight_rank,fighter_a_Flyweight_rank,fighter_b_Flyweight_rank,fighter_a_Heavyweight_rank,fighter_b_Heavyweight_rank,fighter_a_Light_Heavyweight_rank,fighter_b_Light_Heavyweight_rank,fighter_a_Lightweight_rank,fighter_b_Lightweight_rank,fighter_a_Mens_Pound_for_Pound_rank,fighter_b_Mens_Pound_for_Pound_rank,fighter_a_Middleweight_rank,fighter_b_Middleweight_rank,fighter_a_Pound_for_Pound_rank,fighter_b_Pound_for_Pound_rank,fighter_a_Welterweight_rank,fighter_b_Welterweight_rank,fighter_a_Womens_Bantamweight_rank,fighter_b_Womens_Bantamweight_rank,fighter_a_Womens_Featherweight_rank,fighter_b_Womens_Featherweight_rank,fighter_a_Womens_Flyweight_rank,fighter_b_Womens_Flyweight_rank,fighter_a_Womens_Pound_for_Pound_rank,fighter_b_Womens_Pound_for_Pound_rank,fighter_a_Womens_Strawweight_rank,fighter_b_Womens_Strawweight_rank,fighter_a_fight_weight_rank,fighter_b_fight_weight_rank,better_ranked_fighter,fighter_a_other_rankings,fighter_b_other_rankings,fighter_a_best_other_rank,fighter_b_best_other_rank
21,John Yannis,Austin Bashi,9-4-0,67.0,145,70.0,Southpaw,07/07/1994,14-1-0,66.0,145,70.0,Orthodox,29/09/2001,2025-08-02,"Las Vegas, Nevada, USA",Featherweight,Submission,1,3:39,3,b,0,0,2,7,0,5,28.0,0.0,48,67,2,9,1,1,0,0,100.0,0.0,1,0,0,0,173,0,0,0,2,7,0,5,28.0,0.0,48,67,2,9,1,1,0,0,100.0,0.0,1,0,0,0,173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,4,0,0,0,1,0,0,0,0,2,6,0,5,0,0,0,0,0,1,0,0,2,7,0,4,0,0,0,1,0,0,0,0,2,6,0,5,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
22,Felipe Bunes,Rafael Estevam,14-8-0,67.0,125,69.0,Orthodox,29/10/1989,14-0-0,68.0,125,69.0,Orthodox,10/08/1996,2025-08-02,"Las Vegas, Nevada, USA",Flyweight,Decision - Unanimous,3,5:00,3,b,0,0,33,70,26,56,47.0,46.0,128,204,38,75,5,9,0,1,55.0,0.0,0,2,0,0,642,3,0,0,8,19,7,14,42.0,50.0,12,26,8,16,1,3,0,1,33.0,0.0,0,1,0,0,168,3,0.0,0.0,17.0,35.0,9.0,17.0,48.0,52.0,47.0,83.0,13.0,26.0,2.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,8.0,16.0,10.0,25.0,50.0,40.0,69.0,95.0,17.0,33.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,233.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,22,50,15,39,5,14,5,11,6,6,6,6,25,57,25,54,1,1,1,2,7,12,0,0,1,9,1,6,2,5,2,4,5,5,4,4,7,17,7,14,1,1,0,0,0,1,0,0,13.0,25.0,6.0,13.0,3.0,9.0,2.0,3.0,1.0,1.0,1.0,1.0,10.0,24.0,8.0,16.0,0.0,0.0,1.0,1.0,7.0,11.0,0.0,0.0,8.0,16.0,8.0,20.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,8.0,16.0,10.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
23,Piera Rodriguez,Ketlen Souza,11-2-0,63.0,115,63.0,Orthodox,11/11/1992,15-6-0,63.0,115,63.0,Orthodox,18/08/1994,2025-08-02,"Las Vegas, Nevada, USA",Women's Strawweight,Decision - Split,3,5:00,3,a,0,0,64,150,56,103,42.0,54.0,81,171,86,139,7,10,0,3,70.0,0.0,0,0,0,0,276,101,0,0,21,55,19,32,38.0,59.0,23,58,25,38,2,3,0,0,66.0,0.0,0,0,0,0,97,0,0.0,0.0,22.0,42.0,16.0,28.0,52.0,57.0,31.0,52.0,28.0,46.0,3.0,5.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,88.0,83.0,0.0,0.0,21.0,53.0,21.0,43.0,39.0,48.0,27.0,61.0,33.0,55.0,2.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,91.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,28,92,29,72,23,37,10,13,13,21,17,18,48,126,48,92,16,24,8,11,0,0,0,0,7,31,10,22,9,13,3,3,5,11,6,7,9,39,16,28,12,16,3,4,0,0,0,0,11.0,29.0,8.0,20.0,7.0,8.0,4.0,4.0,4.0,5.0,4.0,4.0,18.0,36.0,12.0,23.0,4.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,10.0,32.0,11.0,30.0,7.0,16.0,3.0,6.0,4.0,5.0,7.0,7.0,21.0,51.0,20.0,41.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
24,Robert Whittaker,Reinier de Ridder,27-9-0,72.0,185,73.0,Orthodox,20/12/1990,21-2-0,76.0,185,78.0,Southpaw,07/09/1990,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight,Decision - Split,5,5:00,5,b,1,0,66,142,67,145,46.0,46.0,70,146,192,282,0,0,2,15,0.0,13.0,0,0,0,0,36,546,0,0,20,34,15,35,58.0,42.0,21,35,21,42,0,0,0,3,0.0,0.0,0,0,0,0,0,12,0.0,0.0,9.0,27.0,16.0,38.0,33.0,42.0,9.0,27.0,29.0,58.0,0.0,0.0,1.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,124.0,1.0,0.0,20.0,28.0,13.0,30.0,71.0,43.0,21.0,29.0,32.0,51.0,0.0,0.0,1.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,32.0,159.0,0.0,0.0,6.0,22.0,14.0,24.0,27.0,58.0,8.0,24.0,37.0,48.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,116.0,62,135,41,105,4,7,26,40,0,0,0,0,51,123,54,128,4,5,9,11,11,14,4,6,19,33,6,19,1,1,9,16,0,0,0,0,19,33,10,30,1,1,5,5,0,0,0,0,8.0,26.0,12.0,32.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,9.0,27.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,28.0,10.0,24.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,8.0,13.0,10.0,26.0,1.0,1.0,0.0,0.0,11.0,14.0,3.0,4.0,6.0,22.0,10.0,18.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,20.0,12.0,21.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,9.0,18.0,35.0,50.0,11.0,31.0,73.0,83.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,9.0,26.0,3.0,12.0,2.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,10.0,30.0,7.0,15.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,16,16,16,16,16,16,16,16,16,16,16,16,15,16,5,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,5,13,fighter_a,2,0,13,16
25,Petr Yan,Marcus McGhee,19-5-0,67.0,135,67.0,Switch,11/02/1993,10-2-0,68.0,135,69.0,Orthodox,07/05/1990,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Bantamweight,Decision - Unanimous,3,5:00,3,a,0,0,81,146,64,170,55.0,37.0,130,202,66,173,1,3,0,4,33.0,0.0,0,0,0,0,191,30,0,0,22,43,22,55,51.0,40.0,24,45,23,57,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,33.0,64.0,34.0,93.0,51.0,36.0,37.0,69.0,35.0,94.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,26.0,39.0,8.0,22.0,66.0,36.0,69.0,88.0,8.0,22.0,1.0,3.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,191.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,63,122,44,128,10,12,8,18,8,12,12,24,58,114,62,165,23,32,2,5,0,0,0,0,14,31,15,41,4,4,2,5,4,8,5,9,15,33,20,52,7,10,2,3,0,0,0,0,28.0,58.0,25.0,72.0,4.0,5.0,5.0,12.0,1.0,1.0,4.0,9.0,25.0,54.0,34.0,91.0,8.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,33.0,4.0,15.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,18.0,27.0,8.0,22.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,16,16,16,16,16,16,16,16,16,16,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,3,12,fighter_a,1,0,13,16
26,Marc-Andre Barriault,Shara Magomedov,17-10-0,73.0,185,74.0,Orthodox,18/02/1990,16-1-0,74.0,185,73.0,Orthodox,16/05/1994,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight,Decision - Unanimous,3,5:00,3,b,0,0,93,142,39,77,65.0,50.0,103,153,60,100,0,1,2,6,0.0,33.0,0,0,0,0,57,270,0,0,22,36,5,17,61.0,29.0,23,37,12,24,0,0,1,2,0.0,50.0,0,0,0,0,17,87,0.0,0.0,37.0,61.0,29.0,44.0,60.0,65.0,37.0,61.0,39.0,55.0,0.0,0.0,1.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,11.0,107.0,0.0,0.0,34.0,45.0,5.0,16.0,75.0,31.0,43.0,55.0,9.0,21.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,42,82,24,54,27,33,13,19,24,27,2,4,58,93,21,56,30,39,18,21,5,10,0,0,5,15,4,12,4,7,1,5,13,14,0,0,19,30,3,14,3,6,2,3,0,0,0,0,19.0,40.0,16.0,28.0,14.0,15.0,12.0,13.0,4.0,6.0,1.0,3.0,20.0,40.0,13.0,26.0,17.0,21.0,16.0,18.0,0.0,0.0,0.0,0.0,18.0,27.0,4.0,14.0,9.0,11.0,0.0,1.0,7.0,7.0,1.0,1.0,19.0,23.0,5.0,16.0,10.0,12.0,0.0,0.0,5.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,fighter_b,0,0,16,16
27,Asu Almabayev,Jose Ochoa,22-3-0,64.0,125,65.0,Orthodox,25/01/1994,8-2-0,67.0,125,67.0,Southpaw,31/12/2000,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Flyweight,Decision - Unanimous,3,5:00,3,a,0,0,22,42,26,45,52.0,57.0,55,90,118,151,7,16,1,1,43.0,100.0,2,2,0,0,566,56,0,0,5,10,10,18,50.0,55.0,10,18,36,49,3,6,1,1,50.0,100.0,2,0,0,0,196,43,0.0,0.0,11.0,20.0,5.0,9.0,55.0,55.0,32.0,45.0,46.0,56.0,2.0,5.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,227.0,9.0,0.0,0.0,6.0,12.0,11.0,18.0,50.0,61.0,13.0,27.0,36.0,46.0,2.0,5.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,143.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,12,26,8,19,5,11,13,18,5,5,5,8,13,20,17,33,3,6,9,12,6,16,0,0,3,6,1,6,1,3,5,6,1,1,4,6,5,8,8,15,0,2,2,3,0,0,0,0,5.0,12.0,2.0,3.0,3.0,5.0,3.0,6.0,3.0,3.0,0.0,0.0,5.0,6.0,4.0,7.0,2.0,3.0,1.0,2.0,4.0,11.0,0.0,0.0,4.0,8.0,5.0,10.0,1.0,3.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,6.0,5.0,11.0,1.0,1.0,6.0,7.0,2.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,16,fighter_a,0,0,16,16
28,Bogdan Guskov,Nikita Krylov,18-3-0,75.0,205,76.0,Orthodox,12/09/1992,30-11-0,75.0,205,77.0,Orthodox,07/03/1992,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Light,KO/TKO,1,4:18,3,a,0,1,16,34,23,43,47.0,53.0,16,34,28,48,0,0,0,0,0.0,0.0,0,0,0,0,0,17,0,1,16,34,23,43,47.0,53.0,16,34,28,48,0,0,0,0,0.0,0.0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20,20,40,3,5,1,1,7,9,2,2,16,34,11,26,0,0,0,0,0,0,12,17,6,20,20,40,3,5,1,1,7,9,2,2,16,34,11,26,0,0,0,0,0,0,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,1,1,13,10
29,Bryce Mitchell,Said Nurmagomedov,18-4-0,70.0,135,70.0,Southpaw,04/10/1994,18-5-0,68.0,135,70.0,Orthodox,05/04/1992,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Bantamweight,Decision - Unanimous,3,5:00,3,a,0,1,13,20,20,32,65.0,62.0,39,51,100,126,3,9,0,0,33.0,0.0,0,1,1,2,584,193,0,1,10,14,17,25,71.0,68.0,21,28,42,56,0,2,0,0,0.0,0.0,0,0,0,0,97,106,0.0,0.0,3.0,5.0,1.0,5.0,60.0,20.0,10.0,12.0,31.0,39.0,3.0,4.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,236.0,50.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,100.0,8.0,11.0,27.0,31.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,251.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,3,6,13,24,7,11,5,5,3,3,2,3,5,11,13,19,8,9,1,3,0,0,6,10,2,3,11,19,5,8,4,4,3,3,2,2,5,9,11,15,5,5,1,1,0,0,5,9,1.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,15,16,16,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,fighter_b,1,1,15,12
30,Muslim Salikhov,Carlos Leal,22-5-0,71.0,170,70.0,Orthodox,09/06/1984,22-7-0,71.0,170,74.0,Orthodox,04/05/1994,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight,KO/TKO,1,0:42,3,a,1,0,3,9,5,9,33.0,55.0,3,9,5,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,3,9,5,9,33.0,55.0,3,9,5,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,9,1,4,0,0,1,1,0,0,3,9,5,8,0,0,0,1,0,0,0,0,1,4,5,9,1,4,0,0,1,1,0,0,3,9,5,8,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,15,16,fighter_a,0,0,16,16
